Measure Name,Measure Value,Education_Level,Income_Category
Total_Trans_Amt,390173,Post-Graduate,$80K - $120K
Total_Revolving_Bal,162046,Doctorate,Less than $40K
Months_on_book,6287,College,$80K - $120K
Total_Trans_Ct,22989,College,Less than $40K
Total_Trans_Amt,157634,Doctorate,$120K +
Total_Trans_Ct,34450,Uneducated,Less than $40K
Months_on_book,40987,Graduate,Less than $40K
Total_Amt_Chng_Q4_Q1,93.852,Unknown,$120K +
Total_Trans_Amt,977405,High School,Unknown
Total_Ct_Chng_Q4_Q1,145.548,Unknown,$60K - $80K
Months_on_book,4261,Uneducated,$120K +
Total_Amt_Chng_Q4_Q1,173.791,High School,Unknown
Total_Ct_Chng_Q4_Q1,50.697,Doctorate,$40K - $60K
Total_Ct_Chng_Q4_Q1,36.42,Post-Graduate,Unknown
Total_Trans_Ct,4320,Doctorate,Unknown
Total_Ct_Chng_Q4_Q1,158.393,Unknown,$80K - $120K
Total_Revolving_Bal,123270,Post-Graduate,$40K - $60K
Total_Trans_Amt,2991769,High School,Less than $40K
Months_on_book,14989,Graduate,$60K - $80K
Total_Revolving_Bal,596756,Uneducated,Less than $40K
Total_Ct_Chng_Q4_Q1,123.724,College,$80K - $120K
Total_Amt_Chng_Q4_Q1,138.755,Uneducated,Unknown
Total_Ct_Chng_Q4_Q1,794.945,Graduate,Less than $40K
Total_Relationship_Count,1273,Graduate,Unknown
Total_Amt_Chng_Q4_Q1,136.242,College,$40K - $60K
Total_Trans_Amt,613776,Unknown,Unknown
Months_on_book,1096,Post-Graduate,$120K +
Total_Trans_Amt,818376,College,$40K - $60K
Total_Relationship_Count,265,Doctorate,Unknown
Total_Trans_Ct,13226,Graduate,$120K +
Total_Relationship_Count,270,College,$120K +
Months_on_book,11050,High School,$60K - $80K
Months_on_book,9123,Uneducated,$40K - $60K
Months_on_book,1354,Doctorate,$120K +
Total_Revolving_Bal,318392,Unknown,$40K - $60K
Months_on_book,12036,Graduate,Unknown
Total_Revolving_Bal,261023,High School,Unknown
Total_Amt_Chng_Q4_Q1,257.717,Graduate,Unknown
Total_Amt_Chng_Q4_Q1,105.539,College,$60K - $80K
Total_Revolving_Bal,362707,High School,$60K - $80K
Months_on_book,19934,Unknown,Less than $40K
Total_Revolving_Bal,137200,Unknown,Unknown
Months_on_book,7900,High School,Unknown
Total_Amt_Chng_Q4_Q1,185.906,Uneducated,$40K - $60K
Months_on_book,6692,Uneducated,Unknown
Total_Trans_Ct,7676,Unknown,$120K +
Total_Trans_Amt,1095899,Uneducated,$40K - $60K
Months_on_book,18581,Uneducated,Less than $40K
Total_Trans_Amt,442956,College,Unknown
Months_on_book,2772,Post-Graduate,$60K - $80K
Months_on_book,19739,Graduate,$40K - $60K
Total_Relationship_Count,309,Post-Graduate,$80K - $120K
Total_Trans_Ct,13123,Unknown,$60K - $80K
Total_Revolving_Bal,192498,College,$80K - $120K
Total_Trans_Ct,10651,College,$80K - $120K
Total_Trans_Ct,12226,College,$40K - $60K
Total_Trans_Ct,7398,College,Unknown
Total_Amt_Chng_Q4_Q1,55.02,College,$120K +
Total_Revolving_Bal,80056,Doctorate,Unknown
Total_Relationship_Count,118,Post-Graduate,$120K +
Total_Ct_Chng_Q4_Q1,190.006,Unknown,$40K - $60K
Total_Amt_Chng_Q4_Q1,364.784,Graduate,$80K - $120K
Months_on_book,6420,College,$40K - $60K
Months_on_book,1629,Post-Graduate,Unknown
Months_on_book,2145,Doctorate,$60K - $80K
Total_Relationship_Count,548,Unknown,Unknown
Total_Trans_Amt,1380220,High School,$60K - $80K
Total_Ct_Chng_Q4_Q1,49.031,Doctorate,Unknown
Total_Relationship_Count,665,College,$40K - $60K
Total_Trans_Ct,19457,High School,$80K - $120K
Total_Ct_Chng_Q4_Q1,250.314,High School,$40K - $60K
Total_Amt_Chng_Q4_Q1,506.751,High School,Less than $40K
Total_Amt_Chng_Q4_Q1,237.501,High School,$60K - $80K
Total_Trans_Amt,699987,Post-Graduate,Less than $40K
Total_Ct_Chng_Q4_Q1,135.887,Uneducated,Unknown
Total_Relationship_Count,2089,Unknown,Less than $40K
Total_Ct_Chng_Q4_Q1,55.728,Post-Graduate,$80K - $120K
Total_Ct_Chng_Q4_Q1,305.616,Graduate,$60K - $80K
Total_Relationship_Count,485,Unknown,$120K +
Total_Ct_Chng_Q4_Q1,104.581,Unknown,Unknown
Total_Trans_Ct,13444,Unknown,$80K - $120K
Total_Ct_Chng_Q4_Q1,144.94,Uneducated,$60K - $80K
Total_Relationship_Count,4362,Graduate,Less than $40K
Total_Trans_Amt,1487434,High School,$40K - $60K
Total_Relationship_Count,1310,College,Less than $40K
Total_Trans_Ct,12238,Uneducated,Unknown
Total_Revolving_Bal,64030,Doctorate,$60K - $80K
Total_Trans_Amt,2498633,Unknown,Less than $40K
Total_Amt_Chng_Q4_Q1,80.563,College,Unknown
Total_Relationship_Count,513,College,$60K - $80K
Total_Ct_Chng_Q4_Q1,341.714,Graduate,$80K - $120K
Total_Relationship_Count,800,Unknown,$60K - $80K
Total_Amt_Chng_Q4_Q1,425.176,Unknown,Less than $40K
Total_Revolving_Bal,52086,Post-Graduate,Unknown
Months_on_book,2654,Doctorate,Unknown
Total_Amt_Chng_Q4_Q1,52.023,Doctorate,$40K - $60K
Total_Revolving_Bal,216712,College,$40K - $60K
Total_Relationship_Count,559,High School,$120K +
Total_Relationship_Count,2574,High School,Less than $40K
Total_Ct_Chng_Q4_Q1,396.492,Graduate,$40K - $60K
Total_Revolving_Bal,110451,College,Unknown
Total_Relationship_Count,861,Unknown,$80K - $120K
Months_on_book,7852,Uneducated,$80K - $120K
Total_Trans_Ct,1935,Post-Graduate,$120K +
Months_on_book,12645,High School,$40K - $60K
Total_Trans_Amt,945169,Unknown,$80K - $120K
Total_Trans_Amt,615002,Uneducated,$120K +
Total_Revolving_Bal,581504,Graduate,$80K - $120K
Total_Revolving_Bal,376643,High School,$80K - $120K
Total_Trans_Ct,74594,Graduate,Less than $40K
Total_Revolving_Bal,271158,Uneducated,$80K - $120K
Total_Revolving_Bal,631148,Unknown,Less than $40K
Total_Amt_Chng_Q4_Q1,154.707,Uneducated,$60K - $80K
Total_Revolving_Bal,211482,Uneducated,$60K - $80K
Total_Revolving_Bal,639696,Graduate,$40K - $60K
Months_on_book,2886,Post-Graduate,$80K - $120K
Total_Trans_Ct,10887,Post-Graduate,Less than $40K
Total_Trans_Ct,9318,Unknown,Unknown
Total_Revolving_Bal,40933,Post-Graduate,$120K +
Total_Revolving_Bal,103388,Post-Graduate,$80K - $120K
Total_Relationship_Count,660,Post-Graduate,Less than $40K
Total_Trans_Amt,279036,College,$120K +
Months_on_book,5462,High School,$120K +
Total_Ct_Chng_Q4_Q1,222.784,High School,$80K - $120K
Total_Ct_Chng_Q4_Q1,380.648,Uneducated,Less than $40K
Total_Trans_Amt,280718,Doctorate,Unknown
Total_Revolving_Bal,95636,Post-Graduate,$60K - $80K
Total_Trans_Amt,2448607,Graduate,$40K - $60K
Total_Ct_Chng_Q4_Q1,106.927,Doctorate,Less than $40K
Total_Relationship_Count,1186,High School,$60K - $80K
Total_Ct_Chng_Q4_Q1,484.125,High School,Less than $40K
Total_Trans_Amt,2119006,Graduate,$80K - $120K
Total_Revolving_Bal,46513,Doctorate,$120K +
Total_Amt_Chng_Q4_Q1,135.892,College,$80K - $120K
Total_Trans_Amt,795591,Uneducated,Unknown
Total_Revolving_Bal,405266,Graduate,Unknown
Total_Ct_Chng_Q4_Q1,41.119,Doctorate,$60K - $80K
Total_Amt_Chng_Q4_Q1,323.002,Graduate,$60K - $80K
Total_Trans_Ct,22464,High School,$40K - $60K
Total_Relationship_Count,134,Doctorate,$120K +
